,b,delta,H,MAPE
180,-9.9,1140,"[-255416.80000000005, -547231.0, -723421.4999999999, -886926.5, -1252767.0]",0.3673933185202273
181,-9.9,1141,"[-259327.80000000005, -553270.0, -730135.4999999999, -894525.5, -1261026.0]",0.36570335524186787
182,-9.9,1142,"[-263172.80000000005, -559187.0, -736697.4999999999, -901942.5, -1269043.0]",0.364053935252432
183,-9.9,1143,"[-266951.80000000005, -564982.0, -743107.4999999999, -909177.5, -1276818.0]",0.36244302634847925
184,-9.9,1144,"[-270664.80000000005, -570655.0, -749365.4999999999, -916230.5, -1284351.0]",0.36086871016305155
185,-9.9,1145,"[-274311.80000000005, -576206.0, -755471.4999999999, -923101.5, -1291642.0]",0.3593291737124355
186,-9.9,1146,"[-277892.80000000005, -581635.0, -761425.4999999999, -929790.5, -1298691.0]",0.35782270165999436
187,-9.9,1147,"[-281407.80000000005, -586942.0, -767227.4999999999, -936297.5, -1305498.0]",0.35634766922592537
188,-9.9,1148,"[-284856.80000000005, -592127.0, -772877.4999999999, -942622.5, -1312063.0]",0.35490253567968505
189,-9.9,1149,"[-288239.80000000005, -597190.0, -778375.4999999999, -948765.5, -1318386.0]",0.3534858383587426
190,-9.9,1150,"[-291556.80000000005, -602131.0, -783721.4999999999, -954726.5, -1324467.0]",0.35209618716339186
191,-9.9,1151,"[-294807.80000000005, -606950.0, -788915.4999999999, -960505.5, -1330306.0]",0.35073225948269354
192,-9.9,1152,"[-297992.80000000005, -611647.0, -793957.4999999999, -966102.5, -1335903.0]",0.3493927955113273
193,-9.9,1153,"[-301111.80000000005, -616222.0, -798847.4999999999, -971517.5, -1341258.0]",0.34807659392128504
194,-9.9,1154,"[-304164.80000000005, -620675.0, -803585.4999999999, -976750.5, -1346371.0]",0.34678250785601195
195,-9.9,1155,"[-307151.80000000005, -625006.0, -808171.4999999999, -981801.5, -1351242.0]",0.34550944121785265
196,-9.9,1156,"[-310072.80000000005, -629215.0, -812605.4999999999, -986670.5, -1355871.0]",0.34425634522254456
197,-9.9,1157,"[-312927.80000000005, -633302.0, -816887.4999999999, -991357.5, -1360258.0]",0.3430222151970597
198,-9.9,1158,"[-315716.80000000005, -637267.0, -821017.4999999999, -995862.5, -1364403.0]",0.341806087599378
199,-9.9,1159,"[-318439.80000000005, -641110.0, -824995.4999999999, -1000185.5, -1368306.0]",0.3406070372407969
200,-9.9,1160,"[-321096.80000000005, -644831.0, -828821.4999999999, -1004326.5, -1371967.0]",0.33942417469319663
201,-9.9,1161,"[-323687.80000000005, -648430.0, -832495.4999999999, -1008285.5, -1375386.0]",0.33825664386528825
202,-9.9,1162,"[-326212.80000000005, -651907.0, -836017.4999999999, -1012062.5, -1378563.0]",0.33710361973331765
203,-9.9,1163,"[-328671.80000000005, -655262.0, -839387.4999999999, -1015657.5, -1381498.0]",0.33596430621298523
204,-9.9,1164,"[-331064.80000000005, -658495.0, -842605.4999999999, -1019070.5, -1384191.0]",0.334837934160496
205,-9.9,1165,"[-333391.80000000005, -661606.0, -845671.4999999999, -1022301.5, -1386642.0]",0.3337237594916883
206,-9.9,1166,"[-335652.80000000005, -664595.0, -848585.4999999999, -1025350.5, -1388851.0]",0.33262106140911635
207,-9.9,1167,"[-337847.80000000005, -667462.0, -851347.4999999999, -1028217.5, -1390818.0]",0.3315291407277904
208,-9.9,1168,"[-339976.80000000005, -670207.0, -853957.4999999999, -1030902.5, -1392543.0]",0.33044731829102564
209,-9.9,1169,"[-342039.80000000005, -672830.0, -856415.4999999999, -1033405.5, -1394026.0]",0.3293749334685178
210,-9.9,1170,"[-344036.80000000005, -675331.0, -858721.4999999999, -1035726.5, -1395267.0]",0.3283113427293623
211,-9.9,1171,"[-345967.80000000005, -677710.0, -860875.4999999999, -1037865.5, -1396266.0]",0.32725591828327
212,-9.9,1172,"[-347832.80000000005, -679967.0, -862877.4999999999, -1039822.5, -1397023.0]",0.32620804678371657
213,-9.9,1173,"[-349631.80000000005, -682102.0, -864727.4999999999, -1041597.5, -1397538.0]",0.3251671280871875
214,-9.9,1174,"[-351364.80000000005, -684115.0, -866425.4999999999, -1043190.5, -1397811.0]",0.3241325740630677
