,b,delta,H,MAPE
252,-9.9,1212,"[27647.600000000002, 61719.8, 93591.30000000002, 123028.29999999999, 222991.8]",0.5082569660636682
253,-9.9,1213,"[28815.299999999996, 65068.7, 98573.7, 129434.20000000001, 233354.7]",0.5067667591300874
254,-9.9,1214,"[30049.000000000004, 68539.59999999999, 103708.1, 136022.1, 243959.6]",0.5051547163693518
255,-9.9,1215,"[31348.699999999997, 72132.5, 108994.5, 142792.0, 254806.5]",0.5034430893815868
256,-9.9,1216,"[32714.4, 75847.40000000001, 114432.9, 149743.9, 265895.4]",0.5016510239041454
257,-9.9,1217,"[34146.100000000006, 79684.3, 120023.3, 156877.8, 277226.3]",0.49979498704858294
258,-9.9,1218,"[35643.79999999999, 83643.2, 125765.7, 164193.7, 288799.2]",0.4978891350364504
259,-9.9,1219,"[37207.50000000001, 87724.09999999999, 131660.1, 171691.6, 300614.1]",0.4959456296592634
260,-9.9,1220,"[38837.2, 91927.0, 137706.49999999997, 179371.5, 312671.0]",0.4939749106261404
261,-9.9,1221,"[40532.9, 96251.9, 143904.9, 187233.4, 324969.9]",0.49198593000568813
262,-9.9,1222,"[42294.600000000006, 100698.8, 150255.3, 195277.3, 337510.8]",0.4899863541188479
